,tag0,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9,tag10,tag11,tag12,tag13,tag14,tag15,tag16,tag17,tag18,tag19,tag20,tag21,tag22,tag23,tag24,tag25,tag26,tag27,tag28,tag29,tag30,tag31,tag32,tag33,tag34,tag35,tag36,tag37,tag38,tag39,tag40,tag41,tag42,tag43,tag44,tag45,tag46,tag47,tag48,tag49,tag50,tag51,tag52,tag53,tag54,tag55,tag56,tag57,tag58,tag59,tag60,tag61,tag62,tag63,tag64,tag65,tag66,tag67,tag68,tag69,tag70,tag71,tag72,tag73,tag74,tag75,tag76,tag77,tag78,tag79,tag80,tag81,tag82,tag83,tag84,tag85,tag86,tag87,tag88,tag89,tag90,tag91,tag92,tag93,tag94,tag95,tag96,tag97,tag98,tag99,tag100,tag101,tag102,tag103,tag104,tag105,tag106,tag107
2017-12-24 00:00:00,0.6147,1.183,Inp OutRange,-0.6277,-0.0,0.4551,-0.0918,0.5971,0.5832,-0.2719,0.6944,-0.3658,-0.4349,0.0,-0.0,0.5997,-0.5143,0.5626,0.5838,-0.7932,1.6757,-0.2443,1.7326,1.6807,1.9346,1.9867,0.3193,0.5974,0.6366,-0.3142,-0.3862,0.2887,0.8116,-1.306,-0.5141,1.1747,-0.2548,-0.8671,-0.6968,0.0677,-0.7578,-0.9678,-0.4026,0.0,1.1527,0.0,-0.4973,0.0,1.5777,0.0,0.0,0.0,0.0,0.0,0.0,0.0713,1.0375,1.0375,0.1713,0.2561,0.2371,-0.6252,0.0698,1.0501,1.0501,1.1056,0.0,-0.156,1.4222,0.4464,-0.0635,0.2501,0.2905,0.2867,0.1863,0.1145,-0.0103,0.649,0.6467,-1.876,-1.039,0.1314,0.0888,-0.8666,-0.6939,-0.3761,-0.3461,-0.5884,0.316,0.2301,-1.053,-0.4567,0.0,1.5777,-0.3135,-0.0663,-0.9901,-1.0503,-1.0857,-1.0717,-2.4933,3.3697,-1.7774,3.4831,-1.7173,-1.3576,-2.4288,0.546
2017-12-24 00:05:00,0.6147,1.164,-0.047,-0.6277,-0.0,0.4569,-0.092,0.5859,0.5636,-0.2721,0.7007,-0.3657,-0.4349,0.0,-0.0,0.5351,-0.5955,0.5617,0.6063,-0.7965,1.8196,-0.2525,1.7327,1.6798,1.9346,1.9867,0.3188,0.5896,0.6307,-0.315,-0.387,0.2928,0.8092,-1.3138,-0.5233,1.165,-0.6851,-0.818,-0.6968,0.0633,-0.7589,-0.9584,-0.393,0.0,1.1527,0.0,0.8707,0.0,1.5777,0.0,0.0,0.0,0.0,0.0,0.0,0.0713,1.0375,1.0375,0.84,0.1198,0.1871,-0.5928,0.0698,1.0501,1.0501,1.0895,0.0,-0.156,1.6198,0.6756,0.8843,0.1498,0.2837,0.2862,0.2033,0.1325,-0.0127,0.6397,0.6481,-1.8768,0.0748,0.1319,0.0888,-0.8452,-0.6941,-0.379,-0.3478,-0.5922,0.3165,0.2273,-1.0542,-0.4589,0.0,1.5777,-0.3135,-0.0663,-0.9934,-1.162,-1.0888,-1.0746,-2.4933,3.5617,-1.7774,3.1039,-1.7188,-1.3248,-2.4331,0.5782
2017-12-24 00:10:00,0.6147,1.079,0.011,-0.6277,-0.0,0.453,-0.0921,0.5879,0.5774,-0.2722,0.6902,-0.3657,-0.4349,0.0,-0.0,0.5006,-0.6435,0.5608,0.5676,-0.7998,1.6929,-0.2608,1.7327,1.6789,1.9346,1.9867,0.3766,0.551,0.5978,-0.3156,-0.3863,0.3528,0.8067,-1.3216,-0.5326,1.1553,-0.347,-0.769,-0.6968,0.0588,-0.7599,-0.949,-0.3834,0.0,1.1527,0.0,0.8707,0.0,1.5777,0.0,0.0,0.0,0.0,0.0,0.0,0.0713,1.0375,1.0375,0.9183,0.0594,0.1371,-0.5604,0.0698,1.0501,1.0501,1.0412,0.0,-0.156,1.6117,0.4375,1.1308,0.0408,0.3237,0.3212,0.1752,0.1022,-0.015,0.6579,0.6709,-1.8775,-0.0155,0.1323,0.0888,-0.8237,-0.6943,-0.3818,-0.3494,-0.5961,0.3171,0.2245,-1.0555,-0.4532,0.0,1.5777,-0.3135,-0.0663,-0.9968,-1.0619,-1.0919,-1.0776,-2.4933,3.2896,-1.7774,2.8854,-1.7203,-1.3004,-2.4375,0.6104
2017-12-24 00:15:00,0.6147,0.974,-0.0289,-0.6277,-0.0,0.4531,-0.0923,0.5911,0.5802,-0.2723,0.6727,-0.3657,-0.4349,0.0,-0.0,0.5048,-0.6012,0.5598,0.5663,-0.803,1.763,-0.269,1.7328,1.678,1.9346,1.9866,0.3345,0.5057,0.5583,-0.315,-0.3875,0.3072,0.8042,-1.3294,-0.5418,1.1456,-0.3471,-0.7199,-0.6968,0.0543,-0.761,-0.9395,-0.3738,0.0,1.1527,0.0,0.8707,0.0,1.5777,0.0,0.0,0.0,0.0,0.0,0.0,0.0713,1.0375,1.0375,0.4094,-0.0187,0.0871,-0.5281,0.0698,1.0501,1.0501,0.9671,0.0,-0.156,1.6037,0.4309,0.2815,-0.0781,0.2595,0.2569,0.147,0.0719,-0.0174,0.6552,0.6559,-1.8782,-0.0048,0.1328,0.0888,-0.8023,-0.6945,-0.3846,-0.3511,-0.5999,0.3177,0.2217,-1.0567,-0.4444,0.0,1.5777,-0.3135,-0.0663,-1.0001,-1.0335,-1.095,-1.0805,-2.4933,3.1731,-1.7774,3.0174,-1.7219,-1.3249,-2.4418,0.6427
2017-12-24 00:20:00,0.6147,0.913,0.9048,-0.6277,-0.0,0.4531,-0.0925,0.603,0.5873,-0.2724,0.6705,-0.3656,-0.4349,0.0,-0.0,0.4782,-0.5098,0.5589,0.5828,-0.8063,1.7821,-0.2773,1.7328,1.6771,1.9346,1.9866,0.2597,0.4713,0.5288,-0.3148,-0.3869,0.2277,0.8017,-1.3372,-0.551,1.1368,-0.7831,-0.6708,-0.6969,0.0628,-0.7621,-0.9301,-0.3642,0.0,1.1527,0.0,0.8707,0.0,1.5777,0.0,0.0,0.0,0.0,0.0,0.0,0.0713,1.0375,1.0375,0.9988,-0.2093,0.0371,-0.4957,0.0698,1.0501,1.0501,0.9287,0.0,-0.156,1.6071,0.8091,1.2127,-0.2177,0.2818,0.2848,0.1188,0.0416,-0.0197,0.6229,0.6358,-1.879,-0.0531,0.1333,0.0888,-0.7809,-0.6947,-0.3875,-0.3527,-0.6038,0.3183,0.2189,-1.0579,-0.4356,0.0,1.5777,-0.3135,-0.0663,-1.0035,-1.0839,-1.0981,-1.0834,-2.4933,3.4217,-1.7774,3.0813,-1.7234,-1.3852,-2.4462,0.6749
2017-12-24 00:25:00,0.6147,0.8946,0.0064,-0.6277,-0.0,0.4555,-0.0926,0.5886,0.5764,-0.2726,0.6721,-0.3656,-0.4349,0.0,-0.0,0.4247,-0.616,0.5579,0.5334,-0.8095,0.7765,-0.2855,1.7329,1.6763,1.9347,1.9866,0.3341,0.4597,0.5179,-0.3141,-0.3863,0.3154,0.7993,-1.345,-0.5602,1.1387,-0.71,-0.6297,-0.6969,0.0565,-0.7631,-0.9207,-0.3546,0.0,1.1527,0.0,0.8707,0.0,1.5777,0.0,0.0,0.0,0.0,0.0,0.0,0.0713,1.0375,1.0375,0.7312,-0.3483,-0.0005,-0.4633,0.0698,1.0501,1.0501,0.9126,0.0,-0.156,0.2181,0.8178,0.5296,-0.5314,0.2941,0.2783,0.0906,0.0113,-0.0221,0.6631,0.655,-1.8797,0.7316,0.1337,0.0888,-0.7594,-0.6949,-0.3903,-0.3544,-0.6076,0.3189,0.2161,-1.0591,-0.3104,0.0,1.5777,-0.3135,-0.0663,-1.0068,-1.0365,-1.1012,-1.0864,-2.4933,3.2558,-1.7774,3.0697,-1.7249,-1.3476,-2.4506,0.7071
2017-12-24 00:30:00,0.6147,0.9264,-0.0069,-0.6277,-0.0,0.4529,-0.0928,0.5997,0.563,-0.2727,0.6688,-0.3655,-0.4349,0.0,-0.0,0.4219,-0.5592,0.557,0.4997,-0.8128,0.886,-0.2938,1.7329,1.6754,1.9347,1.9866,0.2299,0.4627,0.5217,-0.3148,-0.3862,0.1924,0.7968,-1.3528,-0.5694,1.1407,-0.741,-0.603,-0.6969,0.0587,-0.7642,-0.9113,-0.345,0.0,1.1527,0.0,0.8707,0.0,1.5777,0.0,0.0,0.0,0.0,0.0,0.0,0.0713,1.0375,1.0375,-1.3609,1.0405,0.2165,-0.4164,0.0698,1.0501,1.0501,0.9448,0.0,-0.156,0.2171,0.8132,-1.9444,1.0408,0.297,0.2984,0.0624,-0.019,-0.0245,0.6062,0.6169,-1.8804,0.7196,0.1342,0.0888,-0.738,-0.6951,-0.3932,-0.356,-0.6115,0.3194,0.2153,-1.0604,-0.2357,0.0,1.5777,-0.3135,-0.0663,-1.0102,-1.2484,-1.1043,-1.0893,-2.4933,3.5715,-1.7774,3.6616,-1.7265,-1.5367,-2.4549,0.7393
2017-12-24 00:35:00,0.6147,0.9628,0.212,-0.6277,-0.0,0.4563,-0.0929,0.6029,0.5982,-0.2728,0.671,-0.3655,-0.4349,0.0,-0.0,0.3443,-0.4908,0.556,0.4907,-0.816,0.6339,-0.3021,1.7329,1.6745,1.9347,1.9866,0.277,0.4761,0.5326,-0.3148,-0.3856,0.2486,0.7794,-1.3606,-0.5786,1.1426,-0.3259,-0.5763,-0.6969,0.0607,-0.7653,-0.9019,-0.3355,0.0,1.1527,0.0,0.8707,0.0,1.5777,0.0,0.0,0.0,0.0,0.0,0.0,0.0713,1.0375,1.0375,0.8801,0.0635,0.2103,-0.4791,0.0698,1.0501,1.0501,0.9608,0.0,-0.156,0.2161,0.5982,0.9474,-0.0398,0.2865,0.2709,0.0503,-0.037,-0.1279,0.6552,0.633,-1.8812,0.7451,0.1347,0.0888,-0.7166,-0.6953,-0.396,-0.3577,-0.6153,0.32,0.2146,-1.0616,-0.1916,0.0,1.5777,-0.3135,-0.0663,-1.0136,-1.1176,-1.1073,-1.0923,-2.4933,3.3081,-1.7774,3.0065,-1.728,-1.3566,-2.4593,0.7716
2017-12-24 00:40:00,0.8407,1.0053,0.3452,-0.6277,-0.0,0.4551,-0.0931,0.6068,0.6135,-0.2729,0.6731,-0.3654,-0.4349,0.0,-0.0,0.415,-0.5418,0.5551,0.4805,-0.8193,0.7951,-0.3103,1.733,1.6736,1.9347,1.9865,0.2895,0.4883,0.544,-0.3149,-0.3868,0.2631,0.3833,-1.3684,-0.5878,1.1446,-0.8132,-0.5496,-0.6969,0.0608,-0.7663,-0.8925,-0.3304,0.0,1.1527,0.0,0.8707,0.0,1.5777,0.0,0.0,0.0,0.0,0.0,0.0,0.0713,1.0375,1.0375,-0.2881,0.2623,0.12,-0.8335,0.0698,1.0501,1.0501,0.993,0.0,-0.156,0.2151,0.8484,-0.6214,0.2771,0.2676,0.2739,0.046,-0.0437,-0.1814,0.6324,0.6343,-1.8819,0.712,0.1352,0.0888,-0.6951,-0.6955,-0.3989,-0.3593,-0.6191,0.3206,0.2139,-1.0628,-0.1985,0.0,1.5777,-0.3135,-0.0663,-1.0169,-1.1314,-1.1104,-1.0952,-2.4933,3.3688,-1.7774,2.7616,-1.7296,-1.3075,-2.4636,0.8038
2017-12-24 00:45:00,1.0668,1.0193,0.2702,-0.6277,-0.0,0.4551,-0.0933,0.6213,0.6158,-0.2731,0.6728,-0.3654,-0.4349,0.0,-0.0,0.2963,-0.5394,0.5542,0.4491,-0.8225,0.8994,-0.3186,1.733,1.6727,1.9347,1.9865,0.2905,0.4951,0.5501,-0.315,-0.3857,0.2631,-1.0002,-1.3761,-0.5971,1.1465,-0.6994,-0.5229,-0.6969,0.0609,-0.7674,-0.8831,-0.3291,0.0,1.1527,0.0,0.8707,0.0,1.5777,0.0,0.0,0.0,0.0,0.0,0.0,0.0713,1.0375,1.0375,0.8327,0.0014,0.0297,-0.6921,0.0698,1.0501,1.0501,0.9993,0.0,-0.156,0.2141,0.86,0.8773,-0.1482,0.2987,0.2966,0.0417,-0.0505,-0.2134,0.6148,0.6381,-1.8826,0.6965,0.1356,0.0888,-0.6737,-0.6957,-0.4017,-0.361,-0.623,0.3212,0.2132,-1.0641,-0.2053,0.0,1.5777,-0.3135,-0.0663,-1.0203,-1.1165,-1.1135,-1.0982,-2.4933,3.4566,-1.7774,3.045,-1.7311,-1.3348,-2.468,0.836
